YEAR,NSP,ND,NE,R,RL,CPI,RR,RC
1937,17.59,0.8,1.13,0.88,2.68,14.1,1.001695775,6090.563298
1938,11.31,0.51,0.64,0.88,2.56,14.2,1.023211429,5945.863089
1939,12.5,0.62,0.9,0.56,2.36,14,1.012834532,6225.814804
1940,12.3,0.67,1.05,0.56,2.21,13.9,0.99133617,6495.560484
1941,10.55,0.71,1.16,0.53,1.95,14.1,0.902849045,6892.752001
1942,8.93,0.59,1.03,0.63,2.46,15.7,0.934846746,6662.803007
1943,10.09,0.61,0.94,0.69,2.47,16.9,0.977966092,6759.279523
1944,11.85,0.64,0.93,0.72,2.48,17.4,0.984566292,6872.800978
1945,13.49,0.66,0.96,0.75,2.37,17.8,0.985357143,7217.90697
1946,18.02,0.71,1.06,0.76,2.19,18.2,0.852945116,8015.240293
1947,15.21,0.84,1.61,1.01,2.25,21.5,0.916335443,8007.942345
1948,14.83,0.93,2.29,1.35,2.44,23.7,1.00083125,8045.45701
1949,15.36,1.14,2.32,1.58,2.31,24,1.037412766,8125.391752
1950,16.88,1.47,2.84,1.32,2.32,23.5,0.937409449,8502.692926
1951,21.21,1.41,2.44,2.12,2.57,25.4,0.978810566,8492.658235
1952,24.19,1.41,2.4,2.39,2.68,26.5,1.020050752,8612.567613
1953,26.18,1.45,2.51,2.58,2.83,26.6,1.014359851,8874.239399
1954,25.46,1.54,2.77,1.8,2.48,26.9,1.025625468,8897.173686
1955,35.6,1.64,3.62,1.81,2.61,26.7,1.014301119,9378.791582
1956,44.15,1.74,3.41,3.21,2.9,26.8,1.002184058,9480.339366
1957,45.43,1.79,3.37,3.86,3.46,27.6,1.002285315,9541.591461
1958,41.12,1.75,2.89,2.54,3.09,28.6,1.011256552,9458.975146
1959,55.62,1.83,3.39,3.74,4.02,29,1.026778157,9819.111283
1960,58.03,1.95,3.27,4.28,4.72,29.3,1.025303356,9886.802306
1961,59.72,2.02,3.19,2.91,3.84,29.8,1.022239333,9927.012557
1962,69.07,2.13,3.67,3.39,4.08,30,1.020296053,10259.59979
1963,65.06,2.28,4.02,3.5,3.83,30.4,1.018252427,10529.75626
1964,76.45,2.5,4.55,4.09,4.17,30.9,1.030891346,11007.9195
1965,86.12,2.72,5.19,4.46,4.19,31.2,1.024890566,11557.93984
1966,93.32,2.87,5.55,5.44,4.61,31.8,1.019146505,12074.85122
1967,84.45,2.92,5.33,5.55,4.58,32.9,1.018356305,12299.89724
1968,95.04,3.07,5.76,6.17,5.53,34.1,1.016965449,12877.15545
1969,102.04,3.16,5.78,8.05,6.04,35.6,1.017613757,13224.51158
1970,90.31,3.14,5.13,9.11,7.79,37.8,1.036270854,13375.3592
1971,93.49,3.07,5.7,5.66,6.24,39.8,1.023179562,13711.9874
1972,103.3,3.15,6.42,4.62,5.95,41.1,1.009361972,14396.61795
1973,118.42,3.38,8.16,7.93,6.46,42.6,0.986656223,14959.17531
1974,96.11,3.6,8.89,11.03,6.99,46.6,0.993089827,14709.72124
1975,72.56,3.68,7.96,7.24,7.5,52.1,1.004892806,14902.6482
1976,96.86,4.05,9.91,5.7,7.74,55.6,1.004601709,15572.32382
1977,103.81,4.67,10.89,5.28,7.21,58.5,0.9854208,16070.00361
1978,90.25,5.07,12.33,7.78,7.96,62.5,0.986273792,16599.45687
1979,99.71,5.65,14.86,10.88,9.1,68.3,0.973406684,16816.06739
1980,110.87,6.16,14.82,11.37,10.8,77.8,0.995929425,16576.57457
1981,132.97,6.63,15.36,17.63,12.57,87,1.085239661,16646.17252
1982,117.28,6.87,12.64,14.6,14.59,94.3,1.10498773,16719.58538
1983,144.27,7.09,14.03,9.37,10.46,97.8,1.049694406,17515.63723
1984,166.39,7.53,16.64,11.11,11.67,101.9,1.073185687,18284.40377
1985,171.61,7.9,14.61,8.35,11.38,105.5,1.042967609,19063.94597
1986,208.19,8.28,14.48,7.31,9.19,109.6,1.057659712,19657.78505
1987,264.51,8.81,17.5,6.25,7.08,111.2,1.021175454,20132.17078
1988,250.48,9.75,23.75,7.63,8.67,115.7,1.028306441,20758.5409
1989,285.41,11.06,22.87,9.29,9.09,121.1,1.038855495,21142.76336
1990,339.97,12.09,21.34,8.43,8.21,127.4,1.026298811,21332.49708
1991,325.5,12.2,15.97,6.92,8.09,134.6,1.042102245,21086.69147
1992,416.08,12.39,19.09,3.91,7.03,138.1,1.006309327,21489.45218
1993,435.23,12.58,21.89,3.44,6.6,142.6,1.008929138,21921.19707
1994,472.99,13.17,30.6,4.35,5.75,146.2,1.015034597,22467.69551
1995,465.25,13.79,33.96,6.45,7.78,150.3,1.036232837,22802.97688
1996,614.42,14.9,38.73,5.68,5.65,154.4,1.025580893,23325.44844
1997,766.22,15.5,39.72,5.78,6.58,159.1,1.04143552,23898.91485
1998,963.36,16.2,37.71,5.68,5.54,161.6,1.039433232,24861.12821
1999,1248.77,16.69,48.17,5.31,4.72,164.3,1.025025652,25922.57131
2000,1425.59,16.27,50,6.61,6.66,168.8,1.027742319,26939.62388
2001,1335.63,15.74,24.69,4.63,5.16,175.1,1.034484077,27388.93913
2002,1140.21,16.07,27.59,1.85,5.04,177.1,0.99271519,27848.50115
2003,895.84,17.39,48.74,1.18,4.05,181.7,0.99267851,28368.68699
2004,1132.52,19.44,58.55,1.49,4.15,185.2,0.985629156,29087.29564
2005,1181.41,22.22,69.93,3.41,4.22,190.7,0.994467322,29790.29577
2006,1278.73,24.88,81.51,5.32,4.42,198.3,1.031783851,30364.43344
2007,1424.16,27.73,66.18,5.34,4.76,202.416,1.00968375,30867.60987
2008,1378.76,28.39,14.88,3.42,3.74,211.18,1.03438123,30509.08124
2009,865.58,22.41,50.97,1.015,2.52,211.143,0.984305018,29933.85468
2010,1123.58,22.73,77.35,0.455,3.73,216.687,0.988420491,
2011,1282.62,26.43,86.95,0.365,3.39,220.223,0.975125467,
2012,1300.58,31.25,86.51,,1.97,226.665,0.98430172,
2013,1480.4,34.99,100.2,,1.91,230.28,,
2014,1822.36,39.44,102.31,,2.86,233.916,,
2015,2028.18,43.39,,,1.88,233.707,,
2016,1918.6,,,,,,,
